文本,来源,uId,结果
请打我队友想看我大勺嘛你咋不动了,,ed595f4c0134ca2266ad77d737eb4eef,通过
哥哥不要打我,,1e4e7768d447e773fb0c85f142bf2b1c,通过
陕西第一深情义父万古第一周瑜,,0c19e1fd855d533d8d24df2a1d27a0a5,通过
貂蝉戏吕布,,640e67a02468f5ab3a692ecb2a9c5876,通过
韩懿莹鲍飞姜承碌,,ece2171766ba72b9db26552f776b731c,通过
好的海绵宝宝下班了蟹老板林北叫派大星,,0c611a1962d336831afa64455b8b5ce9,通过
奉先小儿凤雏,,0cb398e09dd2ec0ba03c4fc113759b77,通过
猪哥,,86ac230c698c31aab3a0c1ef7868005c,通过
雾都袁华,,42181f83eea94ca0f95514cfe6b7ead5,通过
大肉b江东老大公瑾哥哥江东硬汉相父,,4fc5cbcbd2ece189a796f32105995b03,通过
那年我十八,,2a3567997dc493d292a6687a0b983853,通过
胆小菇,,e7844029224a37090ff37d0de02839c3,通过
你咋不动了请打我队友想看我大勺嘛,,ed595f4c0134ca2266ad77d737eb4eef,通过
神周瑜魔孙策仙曹仁鬼公孙瓒圣太史慈,,27c1bdd0294165a9d0a6c6e516a105ff,通过
雾都袁华,,42181f83eea94ca0f95514cfe6b7ead5,通过
专职送人头曰川刚板哈喇子,,adb24e139645efd9d7d8ef7114e9a018,通过
二营长的炮,,ad6e1f5547da92bd842167e4b29f15c1,通过
深浅考察员吃嫩跌一炮,,303651da57aa5e5611ce23c131801e5d,通过
三季稻,,3724cf33540e9de69dfed0f4747f355f,通过
万古第一周瑜陕西第一深情义父,,0c19e1fd855d533d8d24df2a1d27a0a5,通过
你真了不得,,6eda5981ba3bdd4affe5261e59ceb39f,通过
吃老夫一勺妹妹下面好痒,qcloud,d1e1798f8ba7cb096f414aa5ad5cb559,不通过
毐不疼送不了封不住暴不动清不掉,,8d4b8533dd4243a14a2d84e6478ae321,通过
老默快控叔叔快砸老海快叠叔叔快上哈哈护我,,32c38e6b62e6ed282d68ed2059807df8,通过
侧滑四马侧滑四蹀,,43840cb1d52da613711dcbdce08c6825,通过
人中吕布马中赤兔,,306050d50e69f87e17806376cb70d695,通过
三杯吐然诺赵客缦胡纓事了拂依去银安照白马吴鈎霜雪明,,73c0d07677b6a350c87a3e3adc6afe89,通过
小B哥小赵星小老衲小卡卡,,b50e2ea65e45c23b677957e97d7dc24a,通过
你真了不得,,6eda5981ba3bdd4affe5261e59ceb39f,通过
二营长的炮,,ad6e1f5547da92bd842167e4b29f15c1,通过
饮血真镰因陀罗之怒风王之瞳青铜御座湿婆业舞,,a70b1df5f921ccf99888d4cd9dfc0630,通过
转魄,,3d1adb550fb4b265d855fd08f8c855c8,通过
相父公瑾哥哥大肉b江东硬汉江东老大,qcloud,4fc5cbcbd2ece189a796f32105995b03,不通过
丶芙蓉王源,,a3fc4bfdca2abbcc9ca0f50c54078863,通过
俗人诸葛,,cc737f2b01dff1da8a16efed5ae03534,通过
猪哥,,86ac230c698c31aab3a0c1ef7868005c,通过
大肉b公瑾哥哥相父江东老大江东硬汉,,4fc5cbcbd2ece189a796f32105995b03,通过
